FIPS,County,Total_Population_2019_est,Kemp_Votes,Abrams_Votes,Total_Population_2016,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_or_more_races,POC_sum_non_white,0_to_4_2016,5_to_9_2016,10_to_14_2016,15_to_19_2016,20_to_24_2016,25_to_29_2016,30_to_34_2016,35_to_39_2016,40_to_44_2016,45_to_49_2016,50_to_54_2016,55_to_59_2016,60_to_64_2016,65_to_69_2016,70_to_74_2016,75_to_79_2016,80_to_84_2016,85_or_older_2016,Median_Age,Cases_4.20,Deaths_4.20,Recovered_4.20,Active_4.20,2018_GDP_1000s_Chained_Dollars,Per_Capita_Personal_Income_2018
13097,Douglas,146343,21744,33053,142224,70168,65303,620,2373,231,3529,72056,9052,10169,11296,10724,9414,9039,8599,9689,10340,11255,10484,9142,7360,6115,4153,2679,1482,1232,36.5,244,7,0,237,3848040,35230
13099,Early,10190,2285,1840,10339,4934,5191,50,69,2,93,5405,679,712,747,699,603,586,503,566,599,619,713,678,641,597,550,356,254,237,40.6,173,10,0,163,554226,38945
13101,Echols,4006,1008,126,3962,3533,206,109,33,8,73,429,301,324,291,249,242,284,309,275,289,217,280,230,204,176,85,90,77,39,34.6,4,0,0,4,48865,27880
13103,Effingham,64296,17969,5145,58712,48454,8102,263,659,86,1148,10258,4083,4208,4531,4218,3406,3965,4123,4200,3980,4121,4199,3891,3122,2557,1800,1132,673,503,36.1,29,1,0,28,1789623,41942
13105,Elbert,19194,5152,2194,19143,13105,5577,72,156,9,224,6038,1132,1228,1096,1137,1100,1223,998,1110,997,1197,1355,1409,1319,1254,918,708,510,452,42.8,7,0,0,7,577880,35448
13107,Emanuel,22646,5400,2278,22635,14372,7798,84,136,11,234,8263,1530,1652,1566,1383,1443,1567,1450,1442,1301,1298,1441,1481,1364,1257,949,699,454,358,37.4,14,0,0,14,624021,32187
13109,Evans,10654,2392,1040,10670,7041,3277,63,125,40,124,3629,789,782,818,650,601,721,666,685,620,622,695,733,607,518,449,339,210,165,37.2,4,0,0,4,348274,35212
13111,Fannin,26188,9306,1809,24900,24141,199,100,136,11,313,759,1067,1150,1284,1245,1116,1151,1074,1209,1226,1444,1730,2159,2308,2495,1756,1158,727,601,51.6,19,1,0,18,601484,35727
13113,Fayette,114421,32497,24796,111627,77437,25719,471,5441,133,2426,34190,4943,6494,8696,8946,7071,4574,4753,5718,6698,8234,9318,8963,7744,7125,4955,3228,2007,2160,43.6,144,8,0,136,4314130,63515
13115,Floyd,98498,21569,8445,96560,78006,14249,775,1477,279,1774,18554,5877,6406,6497,7158,6460,6416,5755,5874,5835,6114,6343,6379,5784,5207,3761,2844,1993,1857,38.1,127,9,0,118,3787411,38524
13117,Forsyth,244252,65845,26092,221009,181589,8058,1089,26484,130,3659,39420,13487,17848,19502,16347,10524,8863,12758,16550,18801,20020,17089,13261,9869,9370,7130,4639,2775,2176,38.5,213,8,0,205,8676090,62580
13119,Franklin,23349,7051,1036,22320,19514,2123,88,229,12,354,2806,1285,1332,1355,1523,1447,1424,1210,1219,1209,1473,1498,1555,1478,1392,1159,746,567,448,41.6,12,0,0,12,899867,36672
13121,Fulton,1063937,112991,306589,1023336,471529,455792,3173,71301,495,21046,551807,63129,64156,64898,68723,74537,87380,81647,75683,72344,74434,69630,62522,50931,42195,26735,18241,12042,14109,35.5,2208,82,0,2126,152383941,84386
13123,Gilmer,31369,10471,1917,29733,28468,364,206,184,150,361,1265,1581,1620,1620,1731,1477,1444,1485,1632,1677,1784,2063,2285,2348,2603,1867,1227,740,549,46.6,18,0,0,18,827846,35419
13127,Glynn,85292,20743,11636,84502,58581,22503,415,1308,159,1536,25921,4977,5385,5491,5162,5104,5167,4937,4992,4734,5203,5748,6090,5672,5545,4145,2708,1759,1683,41.2,49,0,0,49,3524216,46073
13129,Gordon,57963,14586,3046,56904,52315,2502,373,634,201,879,4589,3552,3970,4098,3937,3494,3611,3560,3688,3891,4118,4072,3661,3260,2872,2092,1455,884,689,37.9,66,6,0,60,2159797,36947
13131,Grady,24633,5633,2704,24808,16637,7245,326,165,72,363,8171,1686,1744,1782,1552,1358,1493,1503,1443,1409,1545,1695,1736,1586,1438,1130,763,510,435,39.4,34,1,0,33,672965,34899
13133,Greene,18324,5856,3093,17003,10584,5950,94,154,21,200,6419,909,902,920,761,761,782,864,894,843,876,1039,1217,1424,1734,1436,885,406,350,49.9,45,1,0,44,614673,55396
13135,Gwinnett,936250,132998,178097,907135,510245,255936,7678,107947,915,24414,396890,61216,69412,73720,68068,59552,58405,60908,66331,68084,70010,65844,57054,43891,33857,21375,13265,8364,7779,35.2,1222,42,0,1180,44198573,41458
13137,Habersham,45328,12944,2417,44246,40210,1659,445,1096,127,709,4036,2571,2794,2885,2946,2969,2758,2690,2664,2651,2928,2855,2921,2646,2645,2015,1480,1012,816,39.7,107,2,0,105,1392422,33925
13139,Hall,204441,49442,17187,196637,171589,15929,1635,3981,393,3110,25048,12997,14222,14903,13827,12822,13123,12268,12427,12734,13713,13135,11732,10423,9532,7371,4973,3343,3092,36.6,720,9,0,711,8764977,43701
13141,Hancock,8457,872,2666,8640,2238,6206,43,85,2,66,6402,352,404,408,389,577,664,535,503,469,512,669,633,710,592,517,291,193,222,45.2,10,0,0,10,160890,29917
13143,Haralson,29792,9278,1219,29042,26888,1398,101,203,8,444,2154,1788,1911,1985,1906,1645,1942,1715,1638,1848,2179,2126,1912,1693,1603,1261,873,579,438,40,23,1,0,22,712231,36508
13145,Harris,35236,11834,4021,33652,26900,5673,151,329,34,565,6752,1562,2016,2266,2271,1864,1674,1694,1861,2179,2472,2748,2590,2496,2324,1622,935,560,518,43.9,44,2,0,42,449959,47469
13147,Hart,26205,7370,2178,25553,19979,4848,58,267,7,394,5574,1357,1525,1578,1458,1417,1539,1310,1362,1442,1688,1830,1818,1793,1783,1391,1033,701,528,44.3,6,0,0,6,880377,38125
13149,Heard,11923,3374,654,11487,9984,1157,63,64,4,215,1503,638,707,759,787,710,723,609,615,760,798,870,915,756,688,491,308,185,168,41.4,7,1,0,6,1132700,31144
13151,Henry,234561,41364,56485,221768,111423,96708,728,7459,192,5258,110345,13038,15265,18235,18190,14548,13175,12968,14745,16566,17692,16930,14328,11410,9561,6422,4163,2508,2024,36.9,384,11,0,373,5456897,39184
